Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Ne,100%,100%,,Si,,80%,80%,0%,100%,,0%,20%,,Te,,https://api.personality-database.com/profile_images/10926.png,Matt Smith,https://www.personality-database.com/profile/10926/matt-smith-actors-british-isles-mbti-personality-type,,8,,,,2,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/37980.png,Matthew Goode,https://www.personality-database.com/profile/37980/matthew-goode-actors-british-isles-mbti-personality-type,,1,,,,,,,,,,,,,,
Fe,Si,,86%,81%,Ne,86%,,0%,10%,,90%,86%,5%,,Ti,,https://api.personality-database.com/profile_images/3195.png,Michael Caine,https://www.personality-database.com/profile/3195/michael-caine-people-of-classic-hollywood-mbti-personality-type,,,,2,,1,1,,,,,,17,,,
Se,Ti,,,85%,Fe,,,15%,15%,75%,70%,5%,65%,85%,Ni,,https://api.personality-database.com/profile_images/1063.png,Michael Fassbender,https://www.personality-database.com/profile/1063/michael-fassbender-actors-british-isles-mbti-personality-type,1,,,,,,,2,1,1,2,1,,,1,11
Fe,Fi,,83%,67%,Se,,83%,83%,0%,67%,,0%,17%,,Si,,https://api.personality-database.com/profile_images/22537.png,Michael Palin,https://www.personality-database.com/profile/22537/michael-palin-actors-british-isles-mbti-personality-type,,1,,,,,,1,2,2,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/34686.png,Michael Praed,https://www.personality-database.com/profile/34686/michael-praed-actors-british-isles-mbti-personality-type,,1,,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/29812.png,Michael Sheen,https://www.personality-database.com/profile/29812/michael-sheen-actors-british-isles-mbti-personality-type,,3,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/21970.png,Michael York,https://www.personality-database.com/profile/21970/michael-york-actors-british-isles-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Fi,,89%,100%,Te,,100%,89%,11%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/20113.png,Nicholas Hoult,https://www.personality-database.com/profile/20113/nicholas-hoult-actors-british-isles-mbti-personality-type,,,,,,,,,,8,,1,,,,
Te,Se,,,,Ne,,,0%,0%,,100%,50%,50%,100%,Fe,50%,https://api.personality-database.com/profile_images/10335.png,Oliver Reed,https://www.personality-database.com/profile/10335/oliver-reed-actors-british-isles-mbti-personality-type,,,,,,,,1,,,,,,,1,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/48652.png,Orlando Bloom,https://www.personality-database.com/profile/48652/orlando-bloom-actors-british-isles-mbti-personality-type,,,,,,,,,2,,,,,,,
Ni,Fe,69%,63%,,Ti,100%,100%,63%,38%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/2976.png,Patrick Stewart,https://www.personality-database.com/profile/2976/patrick-stewart-actors-british-isles-mbti-personality-type,10,,1,,,,,,,,5,,,,,
Ne,Ti,,,100%,Fe,,100%,25%,75%,75%,,0%,0%,75%,Si,,https://api.personality-database.com/profile_images/23602.png,Paul Bettany,https://www.personality-database.com/profile/23602/paul-bettany-actors-british-isles-mbti-personality-type,,,,,,,,,1,,,3,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,Paul Daniels,https://www.personality-database.com/profile/22523/paul-daniels-actors-british-isles-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Fi,,71%,100%,Te,,100%,71%,29%,71%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/29811.png,Ralph Fiennes,https://www.personality-database.com/profile/29811/ralph-fiennes-actors-british-isles-mbti-personality-type,,,,,,,,,,5,2,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,80%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/6869.png,Richard Armitage,https://www.personality-database.com/profile/6869/richard-armitage-actors-british-isles-mbti-personality-type,,,,,,,,,1,4,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/34549.png,Richard Madden,https://www.personality-database.com/profile/34549/richard-madden-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,4,,
Ti,Ne,100%,,,Si,,94%,31%,64%,83%,,0%,6%,69%,Fe,,https://api.personality-database.com/profile_images/9242.png,Ricky Gervais,https://www.personality-database.com/profile/9242/ricky-gervais-actors-british-isles-mbti-personality-type,,11,6,17,,,,2,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/34082.png,Rik Mayall,https://www.personality-database.com/profile/34082/rik-mayall-actors-british-isles-mbti-personality-type,,2,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/43832.png,Riz Ahmed,https://www.personality-database.com/profile/43832/riz-ahmed-actors-british-isles-mbti-personality-type,,,,2,,,,,,,,,,,,
Ne,Fi,,96%,100%,Te,,96%,91%,4%,100%,,0%,4%,,Si,,https://api.personality-database.com/profile_images/9183.png,Robert Pattinson,https://www.personality-database.com/profile/9183/robert-pattinson-actors-british-isles-mbti-personality-type,,,,,,,,,,21,,1,,1,,
Ti,Ne,100%,,,Si,,100%,14%,86%,100%,,0%,0%,86%,Fe,,https://api.personality-database.com/profile_images/36316.png,Robert Sheehan,https://www.personality-database.com/profile/36316/robert-sheehan-actors-british-isles-mbti-personality-type,,1,,6,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/22572.png,Roger Moore,https://www.personality-database.com/profile/22572/roger-moore-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,,2,
Ti,Ne,59%,,,Si,,98%,0%,98%,95%,,0%,2%,100%,Fe,,https://api.personality-database.com/profile_images/966.png,Rowan Atkinson,https://www.personality-database.com/profile/966/rowan-atkinson-actors-british-isles-mbti-personality-type,,,,26,,,,,,,2,15,,,,1
Ne,Fi,,67%,100%,Te,,100%,67%,33%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/10206.png,Rufus Sewell,https://www.personality-database.com/profile/10206/rufus-sewell-actors-british-isles-mbti-personality-type,,,,,,,,,,2,,1,,,,
Fi,Fi,,100%,57%,Te,,,36%,0%,100%,64%,0%,64%,,Te,,https://api.personality-database.com/profile_images/21481.png,Rupert Grint,https://www.personality-database.com/profile/21481/rupert-grint-actors-british-isles-mbti-personality-type,,1,,,,5,,,,4,,,,4,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/2705.png,Sacha Baron Cohen,https://www.personality-database.com/profile/2705/sacha-baron-cohen-actors-british-isles-mbti-personality-type,,,,29,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/16680.png,Sam Claflin,https://www.personality-database.com/profile/16680/sam-claflin-actors-british-isles-mbti-personality-type,,,,,5,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/12032.png,Sean Bean,https://www.personality-database.com/profile/12032/sean-bean-actors-british-isles-mbti-personality-type,,,8,,,,,,,,,,,,,
Te,Si,,,100%,Ne,94%,,0%,0%,,100%,94%,6%,100%,Fi,,https://api.personality-database.com/profile_images/653.png,Sean Connery,https://www.personality-database.com/profile/653/sean-connery-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,17,1
Ti,Ne,100%,,,Si,,78%,11%,67%,100%,,0%,22%,67%,Fe,,https://api.personality-database.com/profile_images/2167.png,Simon Pegg,https://www.personality-database.com/profile/2167/simon-pegg-actors-british-isles-mbti-personality-type,,1,,6,,2,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,89%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/25107.png,Stephen Fry,https://www.personality-database.com/profile/25107/stephen-fry-actors-british-isles-mbti-personality-type,,,1,8,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,Stewart Granger,https://www.personality-database.com/profile/22640/stewart-granger-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,,1,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Taron Egerton,https://www.personality-database.com/profile/38987/taron-egerton-actors-british-isles-mbti-personality-type,,2,,,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/22573.png,Terence Stamp,https://www.personality-database.com/profile/22573/terence-stamp-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,,4,
Ni,Te,100%,,,Fi,100%,60%,0%,60%,,,40%,0%,60%,Se,,https://api.personality-database.com/profile_images/1500.png,Theo James,https://www.personality-database.com/profile/1500/theo-james-actors-british-isles-mbti-personality-type,,,3,,2,,,,,,,,,,,
Te,Ni,,,100%,Se,57%,93%,29%,64%,,,0%,7%,71%,Fi,,https://api.personality-database.com/profile_images/23906.png,Thomas Brodie-Sangster,https://www.personality-database.com/profile/23906/thomas-brodiesangster-actors-british-isles-mbti-personality-type,,,,,,,,,,4,8,1,,,,1
Fi,Ne,100%,75%,,Si,,100%,75%,25%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/28209.png,Tim Curry,https://www.personality-database.com/profile/28209/tim-curry-actors-british-isles-mbti-personality-type,,3,,1,,,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/50180.png,Tim Roth,https://www.personality-database.com/profile/50180/tim-roth-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,2,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/16349.png,Timothy Dalton,https://www.personality-database.com/profile/16349/timothy-dalton-actors-british-isles-mbti-personality-type,,,,,,,,,,,,2,,,,
Fe,Ni,,100%,90%,Se,90%,90%,90%,0%,,,0%,10%,,Ti,,https://api.personality-database.com/profile_images/1397.png,Toby Kebbell,https://www.personality-database.com/profile/1397/toby-kebbell-actors-british-isles-mbti-personality-type,1,,,,,,,,8,,,,,1,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/9185.png,Tom Baker,https://www.personality-database.com/profile/9185/tom-baker-actors-british-isles-mbti-personality-type,,,,2,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/44673.png,Tom Ellis,https://www.personality-database.com/profile/44673/tom-ellis-actors-british-isles-mbti-personality-type,,,,,,1,,,,,,,,,,
Fi,Ne,83%,100%,,Si,,67%,67%,0%,100%,,0%,33%,,Te,,https://api.personality-database.com/profile_images/21480.png,Tom Felton,https://www.personality-database.com/profile/21480/tom-felton-actors-british-isles-mbti-personality-type,,7,,,,3,,,,1,,,,1,,
Ne,Fi,,79%,93%,Te,,93%,72%,21%,97%,,0%,7%,,Si,,https://api.personality-database.com/profile_images/6460.png,Tom Hardy,https://www.personality-database.com/profile/6460/tom-hardy-actors-british-isles-mbti-personality-type,,,,,,2,,,,21,1,5,,,,
