Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/41600.png,https://www.personality-database.com/profile/41600/shanti-winiger-shantilives-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/45774/solohouette-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/50065/susanne-suzie-the-introverted-thinker-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,1,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/50292/taylor-online-psychology-personal-development-mbti-personality-type,,,,,,,,1,,,,,,,,
Fe,Ni,,75%,100%,Se,100%,100%,75%,25%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/33816.png,https://www.personality-database.com/profile/33816/teal-swan-online-psychology-personal-development-mbti-personality-type,,,,,,,,,3,,1,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/46668/thais-campos-online-psychology-personal-development-mbti-personality-type,,,3,,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/40093/the-josh-speaks-online-psychology-personal-development-mbti-personality-type,1,,,,,,,,,,,,,,,
Si,Fe,,,,Ne,100%,,0%,0%,,100%,100%,0%,,Fi,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/37394/theendlesskurtis-online-psychology-personal-development-mbti-personality-type,,,,,1,,,,,,,,,,1,
Ni,Te,89%,,,Fi,78%,89%,0%,89%,,,11%,0%,100%,Se,,https://api.personality-database.com/profile_images/30145.png,https://www.personality-database.com/profile/30145/thomas-frank-online-psychology-personal-development-mbti-personality-type,,,6,1,,,1,,,,,1,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47468/trey-pearce-trey4l-online-psychology-personal-development-mbti-personality-type,,,,,,,,,2,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/41239/venita-v-johnson-this-evil-bunny-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,1,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/36620/alan-melikdjanian-captain-disillusion-online-scientists-educators-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/30688.png,https://www.personality-database.com/profile/30688/alexander-mckechnie-exurb1a-online-scientists-educators-mbti-personality-type,,,,,,,,,,,,11,,,,
Fi,Ne,100%,,,Si,,100%,50%,50%,100%,,0%,0%,,Fe,50%,https://api.personality-database.com/profile_images/30068.png,https://www.personality-database.com/profile/30068/brady-haran-online-scientists-educators-mbti-personality-type,,1,,1,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/30614.png,https://www.personality-database.com/profile/30614/brooke-hanson-supertutortv-online-scientists-educators-mbti-personality-type,,,1,,,,,,,,,,,,,
Te,Ni,,,100%,Se,90%,85%,0%,85%,,,15%,0%,100%,Fi,,https://api.personality-database.com/profile_images/6128.png,https://www.personality-database.com/profile/6128/cgp-grey-online-scientists-educators-mbti-personality-type,,,,,,,,,,,15,2,,,3,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/40047/david-wngstedt-lemmino-online-scientists-educators-mbti-personality-type,,,,,,,,,,,,2,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/30061.png,https://www.personality-database.com/profile/30061/derek-muller-veritasium-online-scientists-educators-mbti-personality-type,4,,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/39727/dianna-cowern-physics-girl-online-scientists-educators-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/30064.png,https://www.personality-database.com/profile/30064/ed-copeland-sixty-symbols-numberphile-online-scientists-educators-mbti-personality-type,,,,,,,,,,1,,,,,,
